unit,channel,model,mae_inr,rmse_inr,r2,mape_percent,train_rows,test_rows,test_cities
per_kg,authorized,random_forest,8.979011904761906,22.007949370084223,0.9970017282365209,2.2629860919646516,720,240,"Ahmedabad, Mumbai, Nagpur"
per_kg,authorized,linear_regression,11.373128226971623,22.60679221199081,0.9968363405840855,5.795801532240116,720,240,"Ahmedabad, Mumbai, Nagpur"
per_kg,authorized,xgboost,22.305870151519777,31.23864176382525,0.9939591768199398,15.588172322385438,720,240,"Ahmedabad, Mumbai, Nagpur"
per_kg,informal,random_forest,6.524198809523809,14.68733017343416,0.9978787770950962,2.1796834002826615,720,240,"Ahmedabad, Mumbai, Nagpur"
per_kg,informal,linear_regression,8.555061449226033,16.409149715587482,0.9973522757871051,5.769333965571997,720,240,"Ahmedabad, Mumbai, Nagpur"
per_kg,informal,xgboost,17.26848225593567,23.101490995440965,0.9947521596642082,15.414940782445683,720,240,"Ahmedabad, Mumbai, Nagpur"
per_kg,mandi,random_forest,8.436335714285715,19.590791441510525,0.9972379592662073,2.292575559250092,720,240,"Ahmedabad, Mumbai, Nagpur"
per_kg,mandi,linear_regression,10.170781711865601,19.538113150763945,0.9972527931708073,5.765596327889224,720,240,"Ahmedabad, Mumbai, Nagpur"
per_kg,mandi,xgboost,21.067759720484414,28.83565402216731,0.9940160806877474,15.86749547090701,720,240,"Ahmedabad, Mumbai, Nagpur"
per_piece,authorized,xgboost,6.2703794723902,9.80339778297472,0.9997774859446006,2.650496666707082,117,39,"Ahmedabad, Mumbai, Nagpur"
per_piece,authorized,random_forest,7.734842490842507,15.790798566635495,0.9994226856054279,1.630147113314907,117,39,"Ahmedabad, Mumbai, Nagpur"
per_piece,authorized,linear_regression,10.986434363357398,21.97396270525885,0.9988820536425058,6.3567285837749425,117,39,"Ahmedabad, Mumbai, Nagpur"
per_piece,informal,xgboost,5.874696301191281,10.201811983254098,0.9996174143669881,2.9294894479633884,117,39,"Ahmedabad, Mumbai, Nagpur"
per_piece,informal,random_forest,6.78351648351648,14.792946011976076,0.9991955790529246,1.8112171423292793,117,39,"Ahmedabad, Mumbai, Nagpur"
per_piece,informal,linear_regression,9.302637153919228,18.20079470267791,0.9987822595604672,6.643284012884963,117,39,"Ahmedabad, Mumbai, Nagpur"
per_piece,mandi,xgboost,7.086609209500826,11.715136608439257,0.9996249742985066,3.008781813838664,117,39,"Ahmedabad, Mumbai, Nagpur"
per_piece,mandi,random_forest,7.533860805860802,14.03073197003141,0.9994620685023619,2.0169099822668355,117,39,"Ahmedabad, Mumbai, Nagpur"
per_piece,mandi,linear_regression,11.470896340127117,21.3789401796603,0.9987510683777439,7.008091572403341,117,39,"Ahmedabad, Mumbai, Nagpur"
